SEASON,AGE_GRP,RPHO_REGION,WEEKENDING,MMWR_WEEK,MMWR_YEAR,COV_POSITIVES,COV_TOTAL_TESTS,COV_TP,COV_TP_LEVEL,FLU_POSITIVES,FLU_TOTAL_TESTS,FLU_TP,FLU_TP_LEVEL,RSV_POSITIVES,RSV_TOTAL_TESTS,RSV_TP,RSV_TP_LEVEL,FLU_A_TESTS,FLU_B_TESTS,COV_ED_VISITS,FLU_ED_VISITS,RSV_ED_VISITS,POP,COV_ADM,FLU_ADM,RSV_ADM,COV_ADM_RATE,FLU_ADM_RATE,RSV_ADM_RATE,COV_ADM_LEVEL,FLU_ADM_LEVEL,RSV_ADM_LEVEL,TOTAL_DEATHS,COV_DEATHS,FLU_DEATHS,RSV_DEATHS,COV_DEATHS_PER,FLU_DEATHS_PER,RSV_DEATHS_PER,SEASON_COV_PED_DEATHS,SEASON_FLU_PED_DEATHS,SEASON_RSV_PED_DEATHS
2024/2025,0-17 yrs,Central California,10/19/2024,42,2024,49,2996,1.6355140186915886,Very Low,18,1602,1.123600,Very Low,20,1256,1.592400,Low,,,,,,1224522.000000,2,,,0.16332903777964,,,Very Low,,,9,0,0,0,0.000000,0.000000,0.000000,,,
2024/2025,18-64 yrs,Los Angeles,10/19/2024,42,2024,288,16139,1.7844971807423011,Very Low,83,5806,1.429600,Very Low,5,3391,0.147400,Very Low,,,,,,6240953.000000,66,,,1.05753079697924,,,Very Low,,,281,2,0,0,0.711744,0.000000,0.000000,,,
2024/2025,0-17 yrs,Southern California,10/19/2024,42,2024,90,4955,1.8163471241170535,Very Low,55,3099,1.774800,Very Low,19,2212,0.859000,Very Low,,,,,,2904951.000000,18,,,0.61963179413353298,,,Very Low,,,23,0,0,0,0.000000,0.000000,0.000000,,,
2024/2025,18-64 yrs,Southern California,10/19/2024,42,2024,332,15815,2.0992728422383813,Very Low,96,6061,1.583900,Very Low,3,2537,0.118200,Very Low,,,,,,7875686.000000,76,,,0.96499530326628102,,,Very Low,,,395,0,0,0,0.000000,0.000000,0.000000,,,
2024/2025,18-64 yrs,Central California,10/26/2024,43,2024,126,6406,1.9669060256009989,Very Low,45,2920,1.541100,Very Low,3,1984,0.151200,Very Low,,,,,,2636654.000000,26,,,0.98609828972629698,,,Very Low,,,161,1,0,0,0.621118,0.000000,0.000000,,,
2024/2025,18-64 yrs,Los Angeles,10/26/2024,43,2024,294,16275,1.806451612903226,Very Low,156,6364,2.451300,Low,10,3963,0.252300,Very Low,,,,,,6240953.000000,55,,,0.88127566414936997,,,Very Low,,,306,1,0,0,0.326797,0.000000,0.000000,,,
2024/2025,0-17 yrs,Central California,11/02/2024,44,2024,39,3641,1.0711343037627026,Very Low,58,2059,2.816900,Low,39,1608,2.425400,Low,,,,,,1224522.000000,0,0,0,0,0,0,Very Low,Very Low,Very Low,10,0,0,0,0.000000,0.000000,0.000000,,,
2024/2025,18-64 yrs,Central California,11/02/2024,44,2024,141,6746,2.0901274829528611,Very Low,57,2974,1.916600,Very Low,3,2022,0.148400,Very Low,,,,,,2636654.000000,10,0,1,0.37926857297165273,0,0.037926857297165273,Very Low,Very Low,Very Low,159,0,0,0,0.000000,0.000000,0.000000,,,
2024/2025,0-17 yrs,Los Angeles,11/02/2024,44,2024,57,4217,1.3516718046004268,Very Low,114,3058,3.727900,Low,59,2147,2.748000,Low,,,,,,1934637.000000,6,4,18,0.31013569987548051,0.20675713325032033,0.93040709962644152,Very Low,Very Low,Low,15,0,0,0,0.000000,0.000000,0.000000,,,
2024/2025,>64 yrs,Rural North,11/02/2024,44,2024,23,206,11.165048543689322,Moderate,1,279,0.358400,Very Low,0,179,0.000000,Very Low,,,,,,148325.000000,7,5,0,4.7193662565312664,3.3709758975223325,0,Low,Low,Very Low,99,2,0,0,2.020202,0.000000,0.000000,,,
2024/2025,0-17 yrs,Central California,11/09/2024,45,2024,37,3823,0.9678263144127649,Very Low,112,2478,4.519800,Low,63,1928,3.267600,Low,,,,,,1224522.000000,1,3,3,0.081664518889819862,0.2449935566694596,0.2449935566694596,Very Low,Very Low,Very Low,5,0,0,0,0.000000,0.000000,0.000000,,,
2024/2025,18-64 yrs,Rural North,11/09/2024,45,2024,13,443,2.9345372460496613,Very Low,12,365,3.287700,Low,0,191,0.000000,Very Low,,,,,,384002.000000,2,1,0,0.52083062067385066,0.26041531033692533,0,Very Low,Very Low,Very Low,28,0,0,0,0.000000,0.000000,0.000000,,,
2024/2025,0-17 yrs,Rural North,11/16/2024,46,2024,10,228,4.3859649122807012,Low,6,236,2.542400,Low,4,151,2.649000,Low,,,,,,147863.000000,0,0,0,0,0,0,Very Low,Very Low,Very Low,2,0,0,0,0.000000,0.000000,0.000000,,,
2024/2025,18-64 yrs,Rural North,11/23/2024,47,2024,21,429,4.895104895104895,Low,25,481,5.197500,Low,2,216,0.925900,Very Low,,,,,,384002.000000,1,1,0,0.26041531033692533,0.26041531033692533,0,Very Low,Very Low,Very Low,28,0,0,0,0.000000,0.000000,0.000000,,,
2024/2025,0-17 yrs,Bay Area,11/30/2024,48,2024,59,6810,0.86637298091042581,Very Low,582,5148,11.305400,Moderate,939,4461,21.049100,Very High,,,,,,1670512.000000,2,11,41,0.11972377331021866,0.65848075320620258,2.4543373528594827,Very Low,Very Low,High,9,0,0,0,0.000000,0.000000,0.000000,,,
2024/2025,18-64 yrs,Central California,12/07/2024,49,2024,165,6829,2.4161663493922974,Very Low,474,4602,10.299900,Moderate,54,2896,1.864600,Low,,,,,,2636654.000000,14,26,7,0.53097600216031371,0.98609828972629698,0.26548800108015685,Very Low,Very Low,Very Low,158,1,0,0,0.632911,0.000000,0.000000,,,
2024/2025,>64 yrs,Greater Sierra-Sacramento,12/14/2024,50,2024,116,1826,6.3526834611171967,Low,151,2215,6.817200,Low,33,1658,1.990300,Low,,,,,,525440.000000,45,47,10,8.5642509135200982,8.9448842874543235,1.9031668696711326,Low,High,Moderate,40,0,0,0,0.000000,0.000000,0.000000,,,
2024/2025,>64 yrs,Los Angeles,12/14/2024,50,2024,300,12430,2.4135156878519708,Very Low,609,6594,9.235700,Moderate,60,4410,1.360500,Low,,,,,,1608433.000000,189,197,16,11.750567166925821,12.247945671345963,0.99475700884028118,Low,Very High,Low,1039,7,7,1,0.673725,0.673725,0.096246,,,
2024/2025,0-17 yrs,Southern California,12/14/2024,50,2024,120,8067,1.4875418371141689,Very Low,1995,6602,30.218100,Very High,573,4304,13.313200,Very High,,,,,,2904951.000000,15,95,103,0.51635982844461059,3.2702789134825334,3.545670821986326,Very Low,Low,Very High,25,0,2,3,0.000000,8.000000,12.000000,,,
2024/2025,>64 yrs,Greater Sierra-Sacramento,12/21/2024,51,2024,120,2078,5.7747834456207885,Low,232,2451,9.465500,Moderate,55,1849,2.974600,Low,,,,,,525440.000000,55,81,17,10.46741778319123,15.415651644336176,3.2353836784409253,Low,Very High,Very High,42,0,0,0,0.000000,0.000000,0.000000,,,
2024/2025,0-17 yrs,Southern California,12/21/2024,51,2024,175,10400,1.6826923076923077,Very Low,3580,9237,38.757200,Very High,865,5717,15.130300,Very High,,,,,,2904951.000000,21,153,103,0.72290375982245481,5.2668702501350282,3.545670821986326,Very Low,Moderate,Very High,24,0,1,0,0.000000,4.166667,0.000000,,,
2024/2025,0-17 yrs,Bay Area,12/28/2024,52,2024,97,10927,0.88770934382721689,Very Low,3445,9488,36.309000,Very High,2032,7962,25.521200,Very High,,,,,,1670512.000000,7,41,93,0.41903320658576532,2.4543373528594827,5.5671554589251686,Very Low,Low,Very High,9,0,0,0,0.000000,0.000000,0.000000,,,
2024/2025,18-64 yrs,Central California,12/28/2024,52,2024,146,6166,2.3678235484917289,Very Low,1763,6454,27.316400,Very High,104,4211,2.469700,Low,,,,,,2636654.000000,19,103,11,0.72061028864614018,3.9064663016080226,0.417195430268818,Very Low,Low,Very Low,156,1,0,0,0.641026,0.000000,0.000000,,,
2024/2025,18-64 yrs,Los Angeles,12/28/2024,52,2024,463,20254,2.2859682038115925,Very Low,5392,14752,36.551000,Very High,156,7639,2.042200,Low,,,,,,6240953.000000,108,416,17,1.7305049405114892,6.6656486597479585,0.27239429619162331,Very Low,High,Very Low,333,2,9,0,0.600601,2.702703,0.000000,,,
2024/2025,>64 yrs,Rural North,12/28/2024,52,2024,23,297,7.7441077441077439,Low,69,587,11.754700,Moderate,5,293,1.706500,Low,,,,,,148325.000000,24,24,0,16.180684308107196,16.180684308107196,0,Moderate,Very High,Very Low,132,3,1,0,2.272727,0.757576,0.000000,,,
2024/2025,18-64 yrs,Los Angeles,01/04/2025,1,2025,536,21257,2.5215223220586158,Very Low,4433,14472,30.631600,Very High,270,7769,3.475400,Low,,,,,,6240953.000000,121,342,40,1.9388064611286127,5.4799323116197156,0.64092775574499594,Very Low,Moderate,Low,366,4,10,1,1.092896,2.732240,0.273224,,,
2024/2025,18-64 yrs,Bay Area,01/11/2025,2,2025,460,21440,2.1455223880597014,Very Low,4846,16744,28.941700,Very High,773,13404,5.766900,Moderate,,,,,,5222531.000000,35,221,61,0.67017314018815777,4.2316646851880826,1.1680160443279322,Very Low,Moderate,Low,230,1,5,0,0.434783,2.173913,0.000000,,,
2024/2025,>64 yrs,Bay Area,01/11/2025,2,2025,286,9370,3.0522945570971185,Low,1213,8778,13.818600,Moderate,495,8023,6.169800,Moderate,,,,,,1498910.000000,92,342,130,6.1377934632499613,22.816580048168337,8.6729690241575543,Low,Very High,Very High,1017,9,23,0,0.884956,2.261554,0.000000,,,
2024/2025,>64 yrs,Los Angeles,01/18/2025,3,2025,393,13950,2.817204301075269,Very Low,1366,8722,15.661500,High,150,5820,2.577300,Low,,,,,,1608433.000000,257,518,67,15.978284454497016,32.205258161204107,4.1655449745186779,Moderate,Very High,Very High,1246,9,22,2,0.722311,1.765650,0.160514,,,
2024/2025,18-64 yrs,Rural North,01/18/2025,3,2025,14,561,2.4955436720142603,Very Low,142,874,16.247100,High,20,378,5.291000,Moderate,,,,,,384002.000000,3,11,1,0.78124593101077611,2.8645684137061784,0.26041531033692533,Very Low,Low,Very Low,36,0,0,0,0.000000,0.000000,0.000000,,,
2024/2025,0-17 yrs,Central California,01/25/2025,4,2025,68,5548,1.2256669069935111,Very Low,2546,5628,45.238100,Very High,739,4270,17.306800,Very High,,,,,,1224522.000000,1,20,29,0.081664518889819862,1.6332903777963972,2.3682710478047762,Very Low,Low,High,7,0,0,0,0.000000,0.000000,0.000000,,,
2024/2025,0-17 yrs,Central California,02/15/2025,7,2025,105,6016,1.7453457446808509,Very Low,2532,6406,39.525400,Very High,754,4842,15.572100,Very High,,,,,,1224522.000000,3,20,28,0.2449935566694596,1.6332903777963972,2.2866065289149562,Very Low,Low,High,11,0,0,0,0.000000,0.000000,0.000000,,,
2024/2025,>64 yrs,Central California,02/15/2025,7,2025,86,2654,3.2403918613413714,Low,558,3529,15.811800,High,94,2548,3.689200,Low,,,,,,580446.000000,33,190,34,5.6852833855345715,32.733449795502075,5.8575647002477407,Low,Very High,Very High,516,5,12,0,0.968992,2.325581,0.000000,,,
2024/2025,0-17 yrs,Los Angeles,02/15/2025,7,2025,146,6236,2.3412443874278384,Very Low,1671,6174,27.065100,Very High,466,3678,12.669900,Very High,,,,,,1934637.000000,14,38,28,0.72364996637612122,1.9641927658780434,1.4472999327522424,Very Low,Low,Low,13,0,1,0,0.000000,7.692308,0.000000,,,
2024/2025,18-64 yrs,Rural North,02/15/2025,7,2025,11,821,1.3398294762484775,Very Low,367,1270,28.897600,Very High,21,542,3.874500,Low,,,,,,384002.000000,4,35,0,1.0416612413477013,9.1145358617923851,0,Very Low,Very High,Very Low,51,0,2,0,0.000000,3.921569,0.000000,,,
2024/2025,0-17 yrs,Bay Area,02/22/2025,8,2025,81,10376,0.78064764841942946,Very Low,3622,9438,38.376800,Very High,621,7502,8.277800,High,,,,,,1670512.000000,4,45,32,0.23944754662043732,2.6937848994799198,1.9155803729634986,Very Low,Low,Moderate,8,0,2,0,0.000000,25.000000,0.000000,,,
2024/2025,18-64 yrs,Bay Area,02/22/2025,8,2025,284,19471,1.4585794258127471,Very Low,3659,15050,24.312300,Very High,294,11558,2.543700,Low,,,,,,5222531.000000,20,203,29,0.3829560801075188,3.8870042130913149,0.55528631615590218,Very Low,Low,Low,266,1,7,1,0.375940,2.631579,0.375940,,,
2024/2025,18-64 yrs,Los Angeles,02/22/2025,8,2025,403,17319,2.3269241873087361,Very Low,1394,15029,9.275400,Moderate,148,9314,1.589000,Low,,,,,,6240953.000000,105,141,23,1.6824353588306147,2.2592703390011111,0.36853345955337269,Very Low,Low,Very Low,326,0,4,0,0.000000,1.226994,0.000000,,,
2024/2025,0-17 yrs,Rural North,02/22/2025,8,2025,1,429,0.23310023310023309,Very Low,207,687,30.131000,Very High,89,386,23.057000,Very High,,,,,,147863.000000,0,3,3,0,2.0289051351588969,2.0289051351588969,Very Low,Low,High,2,0,0,0,0.000000,0.000000,0.000000,,,
2024/2025,0-17 yrs,Central California,03/01/2025,9,2025,57,5250,1.0857142857142856,Very Low,1456,5257,27.696400,Very High,639,4071,15.696400,Very High,,,,,,1224522.000000,4,12,26,0.32665807555927945,0.9799742266778384,2.1232774911353163,Very Low,Very Low,High,8,0,0,0,0.000000,0.000000,0.000000,,,
2024/2025,0-17 yrs,Southern California,03/01/2025,9,2025,120,7173,1.6729401923881222,Very Low,1132,6496,17.426100,High,636,4130,15.399500,Very High,,,,,,2904951.000000,10,61,142,0.34423988562974039,2.0998633023414164,4.888206375942314,Very Low,Low,Very High,18,0,0,0,0.000000,0.000000,0.000000,,,
2024/2025,0-17 yrs,Los Angeles,03/08/2025,10,2025,67,5456,1.2280058651026393,Very Low,877,4810,18.232800,High,270,2966,9.103200,High,,,,,,1934637.000000,6,20,20,0.31013569987548051,1.0337856662516018,1.0337856662516018,Very Low,Low,Low,11,0,0,0,0.000000,0.000000,0.000000,,,
2024/2025,18-64 yrs,Los Angeles,03/08/2025,10,2025,326,20137,1.6189104633262155,Very Low,993,10994,9.032200,Moderate,112,6751,1.659000,Low,,,,,,6240953.000000,76,66,14,1.2177627359154923,1.0575307969792433,0.22432471451074862,Very Low,Low,Very Low,299,1,1,0,0.334448,0.334448,0.000000,,,
2024/2025,18-64 yrs,Los Angeles,03/15/2025,11,2025,384,22900,1.6768558951965065,Very Low,941,11796,7.977300,Low,104,7642,1.360900,Low,,,,,,6240953.000000,74,68,13,1.1857163481282427,1.0895771847664932,0.2083015206171237,Very Low,Low,Very Low,301,2,3,1,0.664452,0.996678,0.332226,,,
2023/2024,>64 yrs,Central California,04/06/2024,14,2024,120,2834,4.2342978122794639,Low,29,2025,1.432100,Very Low,12,1827,0.656800,Very Low,,,,,,565180.000000,54,,,9.5544782193283595,,,Low,,,467,5,1,0,1.070664,0.214133,0.000000,,,
2023/2024,>64 yrs,Los Angeles,04/06/2024,14,2024,198,10010,1.9780219780219779,Very Low,64,4551,1.406300,Very Low,39,2949,1.322500,Low,,,,,,1558959.000000,107,,,6.8635544616631998,,,Low,,,964,7,1,0,0.726141,0.103734,0.000000,,,
2023/2024,18-64 yrs,Southern California,04/06/2024,14,2024,283,13419,2.1089499962739398,Very Low,352,6472,5.438800,Low,25,2972,0.841200,Very Low,,,,,,7861790.000000,41,,,0.52150973251638599,,,Very Low,,,365,1,1,0,0.273973,0.273973,0.000000,,,
2023/2024,0-17 yrs,Central California,04/13/2024,15,2024,43,3684,1.1672095548317047,Very Low,174,2165,8.037000,Low,13,1858,0.699700,Very Low,,,,,,1246767.000000,1,,,0.080207448544917001,,,Very Low,,,13,0,1,0,0.000000,7.692308,0.000000,,,
2023/2024,0-17 yrs,Los Angeles,04/13/2024,15,2024,52,3707,1.4027515511195037,Very Low,163,2563,6.359700,Low,29,1651,1.756500,Low,,,,,,1975596.000000,2,,,0.10123527279869,,,Very Low,,,19,0,0,0,0.000000,0.000000,0.000000,,,
2023/2024,>64 yrs,Greater Sierra-Sacramento,04/20/2024,16,2024,104,2000,5.2000000000000002,Low,34,1850,1.837800,Very Low,19,1474,1.289000,Low,,,,,,510647.000000,66,,,12.9247797402119,,,Low,,,36,0,0,0,0.000000,0.000000,0.000000,,,
2023/2024,>64 yrs,Central California,04/27/2024,17,2024,93,2243,4.146232724030317,Low,19,1524,1.246700,Very Low,3,1198,0.250400,Very Low,,,,,,565180.000000,47,,,8.3159347464524593,,,Low,,,439,4,0,1,0.911162,0.000000,0.227790,,,
2023/2024,18-64 yrs,Greater Sierra-Sacramento,04/27/2024,17,2024,116,4134,2.8059990324141264,Very Low,104,2577,4.035700,Low,4,1869,0.214000,Very Low,,,,,,1788686.000000,36,,,2.0126506273320199,,,Very Low,,,15,0,0,0,0.000000,0.000000,0.000000,,,
2023/2024,18-64 yrs,Southern California,04/27/2024,17,2024,210,13188,1.5923566878980893,Very Low,243,5550,4.378400,Low,11,2716,0.405000,Very Low,,,,,,7861790.000000,41,,,0.52150973251638599,,,Very Low,,,362,0,1,0,0.000000,0.276243,0.000000,,,
2023/2024,>64 yrs,Central California,05/04/2024,18,2024,90,2102,4.2816365366317788,Low,15,1284,1.168200,Very Low,2,906,0.220800,Very Low,,,,,,565180.000000,64,,,11.323826037722499,,,Low,,,461,6,0,0,1.301518,0.000000,0.000000,,,
2023/2024,>64 yrs,Greater Sierra-Sacramento,05/04/2024,18,2024,119,1847,6.4428803465078506,Low,13,1378,0.943400,Very Low,6,1119,0.536200,Very Low,,,,,,510647.000000,67,,,13.1206097362757,,,Moderate,,,49,0,0,0,0.000000,0.000000,0.000000,,,
2023/2024,>64 yrs,Los Angeles,05/11/2024,19,2024,209,9358,2.2333832015387904,Very Low,53,3582,1.479600,Very Low,4,2329,0.171700,Very Low,,,,,,1558959.000000,93,,,5.9655192984549297,,,Low,,,937,4,1,1,0.426894,0.106724,0.106724,,,
2023/2024,0-17 yrs,Southern California,05/11/2024,19,2024,66,5364,1.2304250559284116,Very Low,121,3068,3.943900,Low,15,2337,0.641800,Very Low,,,,,,2950125.000000,13,,,0.44065929409770799,,,Very Low,,,15,0,0,0,0.000000,0.000000,0.000000,,,
2023/2024,0-17 yrs,Bay Area,05/18/2024,20,2024,150,7819,1.918403887965213,Very Low,202,3444,5.865300,Low,8,2667,0.300000,Very Low,,,,,,1696702.000000,6,,,0.35362721326432101,,,Very Low,,,8,0,0,0,0.000000,0.000000,0.000000,,,
2023/2024,0-17 yrs,Greater Sierra-Sacramento,05/25/2024,21,2024,63,1520,4.1447368421052628,Low,94,1193,7.879300,Low,2,680,0.294100,Very Low,,,,,,673877.000000,0,,,0,,,Very Low,,,1,0,0,0,0.000000,0.000000,0.000000,,,
2023/2024,0-17 yrs,Los Angeles,05/25/2024,21,2024,79,4253,1.857512344227604,Very Low,115,2395,4.801700,Low,8,1530,0.522900,Very Low,,,,,,1975596.000000,6,,,0.30370581839606903,,,Very Low,,,12,0,0,1,0.000000,0.000000,8.333333,,,
2023/2024,>64 yrs,Central California,06/01/2024,22,2024,144,2208,6.5217391304347823,Low,24,1315,1.825100,Very Low,3,923,0.325000,Very Low,,,,,,565180.000000,67,,,11.8546303832407,,,Low,,,429,1,1,0,0.233100,0.233100,0.000000,,,
2023/2024,>64 yrs,Rural North,06/01/2024,22,2024,39,244,15.983606557377051,High,4,254,1.574800,Very Low,0,158,0.000000,Very Low,,,,,,146162.000000,9,,,6.1575512103009,,,Low,,,96,2,0,0,2.083333,0.000000,0.000000,,,
2023/2024,0-17 yrs,Bay Area,06/08/2024,23,2024,215,8938,2.4054598344148577,Very Low,188,3137,5.993000,Low,10,2495,0.400800,Very Low,,,,,,1696702.000000,4,,,0.235751475509547,,,Very Low,,,10,0,0,0,0.000000,0.000000,0.000000,,,
2023/2024,>64 yrs,Bay Area,06/08/2024,23,2024,771,8816,8.7454627949183301,Moderate,72,4504,1.598600,Very Low,11,3918,0.280800,Very Low,,,,,,1450195.000000,291,,,20.066266950306701,,,Moderate,,,850,11,4,0,1.294118,0.470588,0.000000,,,
2023/2024,0-17 yrs,Central California,06/15/2024,24,2024,107,2764,3.8712011577424024,Low,72,1443,4.989600,Low,3,1048,0.286300,Very Low,,,,,,1246767.000000,0,,,0,,,Very Low,,,17,0,0,0,0.000000,0.000000,0.000000,,,
2023/2024,18-64 yrs,Los Angeles,06/15/2024,24,2024,671,16772,4.0007154781779155,Low,197,5201,3.787700,Low,4,3024,0.132300,Very Low,,,,,,6291153.000000,69,,,1.0967782853159,,,Very Low,,,326,2,0,0,0.613497,0.000000,0.000000,,,
2023/2024,0-17 yrs,Central California,06/22/2024,25,2024,125,2724,4.5888399412628491,Low,67,1253,5.347200,Low,2,954,0.209600,Very Low,,,,,,1246767.000000,0,,,0,,,Very Low,,,9,0,0,0,0.000000,0.000000,0.000000,,,
2023/2024,0-17 yrs,Southern California,06/22/2024,25,2024,185,3600,5.1388888888888884,Low,69,2179,3.166600,Low,6,1695,0.354000,Very Low,,,,,,2950125.000000,15,,,0.50845303165120104,,,Very Low,,,19,0,0,0,0.000000,0.000000,0.000000,,,
2023/2024,>64 yrs,Bay Area,06/29/2024,26,2024,1268,9438,13.435049798686164,High,90,4804,1.873400,Very Low,17,4093,0.415300,Very Low,,,,,,1450195.000000,418,,,28.823709914873501,,,High,,,896,20,0,0,2.232143,0.000000,0.000000,,,
2023/2024,18-64 yrs,Greater Sierra-Sacramento,06/29/2024,26,2024,561,3820,14.68586387434555,High,55,1534,3.585400,Low,0,901,0.000000,Very Low,,,,,,1788686.000000,50,,,2.7953480935166901,,,Very Low,,,11,0,0,0,0.000000,0.000000,0.000000,,,
2023/2024,18-64 yrs,Southern California,06/29/2024,26,2024,1131,14710,7.688647178789938,Low,157,5643,2.782200,Low,4,2510,0.159400,Very Low,,,,,,7861790.000000,68,,,0.86494297100278705,,,Very Low,,,446,3,2,0,0.672646,0.448430,0.000000,,,
2024/2025,0-17 yrs,Bay Area,07/06/2024,27,2024,397,6814,5.826240093924274,Low,97,2403,4.036600,Low,8,1927,0.415200,Very Low,,,,,,1670512.000000,8,,,0.47889509324087498,,,Very Low,,,8,0,0,0,0.000000,0.000000,0.000000,,,
2024/2025,18-64 yrs,Bay Area,07/06/2024,27,2024,1887,20876,9.0390879478827362,Moderate,209,8116,2.575200,Low,8,6664,0.120000,Very Low,,,,,,5222531.000000,167,,,3.1976832688977801,,,Low,,,230,2,1,0,0.869565,0.434783,0.000000,,,
2024/2025,18-64 yrs,Central California,07/06/2024,27,2024,675,6349,10.631595526854623,Moderate,47,2268,2.072300,Low,0,1474,0.000000,Very Low,,,,,,2636654.000000,66,,,2.50317258161291,,,Very Low,,,199,0,0,0,0.000000,0.000000,0.000000,,,
2024/2025,0-17 yrs,Rural North,07/06/2024,27,2024,15,143,10.48951048951049,Moderate,2,143,1.398600,Very Low,3,79,3.797500,Low,,,,,,147863.000000,0,,,0,,,Very Low,,,3,0,0,0,0.000000,0.000000,0.000000,,,
2024/2025,18-64 yrs,Southern California,07/06/2024,27,2024,1234,12497,9.8743698487637026,Moderate,174,5398,3.223400,Low,6,2420,0.247900,Very Low,,,,,,7875686.000000,80,,,1.01578452975398,,,Very Low,,,408,1,0,0,0.245098,0.000000,0.000000,,,
2024/2025,>64 yrs,Central California,07/13/2024,28,2024,420,2433,17.262638717632552,Very High,11,1383,0.795400,Very Low,0,991,0.000000,Very Low,,,,,,580446.000000,139,,,23.947102745130501,,,High,,,493,5,0,0,1.014199,0.000000,0.000000,,,
2024/2025,0-17 yrs,Los Angeles,07/13/2024,28,2024,348,3438,10.122164048865621,Moderate,59,1766,3.340900,Low,3,1184,0.253400,Very Low,,,,,,1934637.000000,14,,,0.723649966376121,,,Very Low,,,15,0,0,0,0.000000,0.000000,0.000000,,,
2024/2025,>64 yrs,Southern California,07/13/2024,28,2024,1079,6958,15.507329692440356,High,48,4820,0.995900,Very Low,1,2352,0.042500,Very Low,,,,,,2059864.000000,290,,,14.0785993638415,,,Moderate,,,1275,17,0,0,1.333333,0.000000,0.000000,,,
2024/2025,18-64 yrs,Bay Area,07/20/2024,29,2024,2173,27119,8.0128323315756482,Moderate,123,8089,1.520600,Very Low,3,6698,0.044800,Very Low,,,,,,5222531.000000,143,,,2.73813597276876,,,Very Low,,,226,5,0,0,2.212389,0.000000,0.000000,,,
2024/2025,>64 yrs,Los Angeles,07/20/2024,29,2024,1176,12261,9.5913873256667479,Moderate,37,4195,0.882000,Very Low,6,2576,0.232900,Very Low,,,,,,1608433.000000,333,,,20.7033802464884,,,Moderate,,,890,16,0,0,1.797753,0.000000,0.000000,,,
2024/2025,18-64 yrs,Southern California,07/20/2024,29,2024,2056,15359,13.386288169802722,High,111,6565,1.690800,Very Low,2,2828,0.070700,Very Low,,,,,,7875686.000000,121,,,1.53637410125289,,,Very Low,,,402,6,0,0,1.492537,0.000000,0.000000,,,
2024/2025,>64 yrs,Central California,07/27/2024,30,2024,466,2696,17.284866468842729,Very High,10,1399,0.714800,Very Low,1,991,0.100900,Very Low,,,,,,580446.000000,190,,,32.733449795502104,,,Very High,,,466,13,0,0,2.789700,0.000000,0.000000,,,
2024/2025,18-64 yrs,Greater Sierra-Sacramento,08/03/2024,31,2024,783,4747,16.494628186222879,High,16,1594,1.003800,Very Low,0,912,0.000000,Very Low,,,,,,1793656.000000,55,,,3.0663627808230798,,,Low,,,14,0,0,0,0.000000,0.000000,0.000000,,,
2024/2025,18-64 yrs,Los Angeles,08/03/2024,31,2024,2367,20950,11.29832935560859,Moderate,103,6393,1.611100,Very Low,2,3680,0.054300,Very Low,,,,,,6240953.000000,174,,,2.7880357374907301,,,Very Low,,,309,1,1,0,0.323625,0.323625,0.000000,,,
2024/2025,18-64 yrs,Central California,08/10/2024,32,2024,1152,8346,13.803019410496045,High,25,2516,0.993600,Very Low,0,1686,0.000000,Very Low,,,,,,2636654.000000,96,,,3.6409783005278702,,,Low,,,162,0,0,0,0.000000,0.000000,0.000000,,,
2024/2025,>64 yrs,Bay Area,08/17/2024,33,2024,1254,9205,13.623030961434004,High,19,2642,0.719200,Very Low,1,2110,0.047400,Very Low,,,,,,1498910.000000,542,,,36.159609316103001,,,Very High,,,805,26,0,0,3.229814,0.000000,0.000000,,,
2024/2025,18-64 yrs,Central California,08/17/2024,33,2024,1183,7895,14.984167194426853,High,25,2726,0.917100,Very Low,2,1769,0.113100,Very Low,,,,,,2636654.000000,72,,,2.7307337253959001,,,Very Low,,,173,2,0,0,1.156069,0.000000,0.000000,,,
2024/2025,0-17 yrs,Los Angeles,08/17/2024,33,2024,569,3559,15.987636976678843,High,33,2010,1.641800,Very Low,5,1409,0.354900,Very Low,,,,,,1934637.000000,21,,,1.08547494956418,,,Very Low,,,11,0,0,0,0.000000,0.000000,0.000000,,,
2024/2025,>64 yrs,Southern California,08/17/2024,33,2024,1471,8198,17.943400829470601,Very High,45,5601,0.803400,Very Low,0,2865,0.000000,Very Low,,,,,,2059864.000000,721,,,35.002310832171403,,,Very High,,,1287,29,2,0,2.253302,0.155400,0.000000,,,
2024/2025,18-64 yrs,Bay Area,08/31/2024,35,2024,1296,19766,6.5567135485176564,Low,95,3610,2.631600,Low,4,2411,0.165900,Very Low,,,,,,5222531.000000,155,,,2.9679096208332698,,,Very Low,,,211,1,0,0,0.473934,0.000000,0.000000,,,
2024/2025,0-17 yrs,Los Angeles,08/31/2024,35,2024,620,3975,15.59748427672956,High,40,2612,1.531400,Very Low,17,1683,1.010100,Low,,,,,,1934637.000000,20,,,1.0337856662516001,,,Very Low,,,9,0,0,0,0.000000,0.000000,0.000000,,,
2024/2025,0-17 yrs,Central California,09/07/2024,36,2024,348,3689,9.4334507996747092,Moderate,12,1642,0.730800,Very Low,4,1250,0.320000,Very Low,,,,,,1224522.000000,0,,,0,,,Very Low,,,14,1,0,0,7.142857,0.000000,0.000000,,,
