SEASON,AGE_GRP,RPHO_REGION,WEEKENDING,MMWR_WEEK,MMWR_YEAR,COV_POSITIVES,COV_TOTAL_TESTS,COV_TP,COV_TP_LEVEL,FLU_POSITIVES,FLU_TOTAL_TESTS,FLU_TP,FLU_TP_LEVEL,RSV_POSITIVES,RSV_TOTAL_TESTS,RSV_TP,RSV_TP_LEVEL,FLU_A_TESTS,FLU_B_TESTS,COV_ED_VISITS,FLU_ED_VISITS,RSV_ED_VISITS,POP,COV_ADM,FLU_ADM,RSV_ADM,COV_ADM_RATE,FLU_ADM_RATE,RSV_ADM_RATE,COV_ADM_LEVEL,FLU_ADM_LEVEL,RSV_ADM_LEVEL,TOTAL_DEATHS,COV_DEATHS,FLU_DEATHS,RSV_DEATHS,COV_DEATHS_PER,FLU_DEATHS_PER,RSV_DEATHS_PER,SEASON_COV_PED_DEATHS,SEASON_FLU_PED_DEATHS,SEASON_RSV_PED_DEATHS
2023/2024,>64 yrs,Los Angeles,07/15/2023,28,2023,562,12419,4.5253241001690956,Low,15,1019,1.472000,Very Low,1,766,0.130500,Very Low,,,,,,,,,,,,,,,,857,8,0,0,0.933489,0.000000,0.000000,,,
2023/2024,0-17 yrs,Greater Sierra-Sacramento,07/22/2023,29,2023,61,939,6.496272630457935,Low,6,199,3.015100,Low,0,61,0.000000,Very Low,,,,,,,,,,,,,,,,2,0,0,0,0.000000,0.000000,0.000000,,,
2023/2024,>64 yrs,Rural North,07/22/2023,29,2023,22,268,8.2089552238805972,Moderate,0,98,0.000000,Very Low,0,47,0.000000,Very Low,,,,,,,,,,,,,,,,112,2,0,0,1.785714,0.000000,0.000000,,,
2023/2024,0-17 yrs,Bay Area,07/29/2023,30,2023,280,6400,4.375,Low,48,459,10.457500,Moderate,8,477,1.677100,Low,,,,,,,,,,,,,,,,8,0,0,0,0.000000,0.000000,0.000000,,,
2023/2024,>64 yrs,Bay Area,07/29/2023,30,2023,798,9959,8.0128526960538213,Moderate,11,513,2.144200,Low,3,397,0.755700,Very Low,,,,,,,,,,,,,,,,765,27,0,0,3.529412,0.000000,0.000000,,,
2023/2024,18-64 yrs,Los Angeles,08/05/2023,31,2023,1994,17763,11.225581264426054,Moderate,61,2685,2.271900,Low,0,648,0.000000,Very Low,,,,,,,,,,,,,,,,350,2,0,0,0.571429,0.000000,0.000000,,,
2023/2024,0-17 yrs,Rural North,08/05/2023,31,2023,16,151,10.596026490066226,Moderate,1,73,1.369900,Very Low,1,41,2.439000,Low,,,,,,,,,,,,,,,,3,0,0,0,0.000000,0.000000,0.000000,,,
2023/2024,18-64 yrs,Rural North,08/05/2023,31,2023,81,637,12.71585557299843,Moderate,0,129,0.000000,Very Low,0,60,0.000000,Very Low,,,,,,,,,,,,,,,,28,0,0,0,0.000000,0.000000,0.000000,,,
2023/2024,>64 yrs,Los Angeles,08/12/2023,32,2023,1042,12584,8.2803560076287344,Moderate,25,2285,1.094100,Very Low,1,684,0.146200,Very Low,,,,,,,,,,,,,,,,861,8,0,0,0.929152,0.000000,0.000000,,,
2023/2024,18-64 yrs,Rural North,08/12/2023,32,2023,80,742,10.781671159029651,Moderate,2,164,1.219500,Very Low,0,82,0.000000,Very Low,,,,,,,,,,,,,,,,33,0,0,0,0.000000,0.000000,0.000000,,,
2023/2024,>64 yrs,Southern California,08/12/2023,32,2023,1092,7708,14.167099117799689,High,22,3206,0.686200,Very Low,3,1468,0.204400,Very Low,,,,,,,,,,,,,,,,1271,21,0,0,1.652242,0.000000,0.000000,,,
2023/2024,18-64 yrs,Rural North,08/19/2023,33,2023,124,735,16.870748299319725,High,1,168,0.595200,Very Low,0,91,0.000000,Very Low,,,,,,,,,,,,,,,,37,1,0,0,2.702703,0.000000,0.000000,,,
2023/2024,18-64 yrs,Rural North,08/26/2023,34,2023,125,653,19.142419601837673,Very High,0,174,0.000000,Very Low,0,68,0.000000,Very Low,,,,,,,,,,,,,,,,29,0,0,0,0.000000,0.000000,0.000000,,,
2023/2024,18-64 yrs,Central California,09/02/2023,35,2023,1428,10858,13.151593295266162,High,8,1332,0.600600,Very Low,1,1085,0.092200,Very Low,,,,,,,,,,,,,,,,154,1,0,0,0.649351,0.000000,0.000000,,,
2023/2024,>64 yrs,Greater Sierra-Sacramento,09/02/2023,35,2023,338,2094,16.141356255969434,High,12,396,3.030300,Low,0,203,0.000000,Very Low,,,,,,,,,,,,,,,,53,1,0,0,1.886792,0.000000,0.000000,,,
2023/2024,0-17 yrs,Southern California,09/02/2023,35,2023,1039,7688,13.514568158168574,High,41,3026,1.354900,Very Low,39,2078,1.876800,Low,,,,,,,,,,,,,,,,17,1,0,0,5.882353,0.000000,0.000000,,,
2023/2024,0-17 yrs,Central California,09/09/2023,36,2023,335,3427,9.7753136854391585,Moderate,16,993,1.611300,Very Low,1,855,0.117000,Very Low,,,,,,,,,,,,,,,,8,0,0,0,0.000000,0.000000,0.000000,,,
2023/2024,>64 yrs,Greater Sierra-Sacramento,09/09/2023,36,2023,395,2171,18.194380469829571,Very High,7,400,1.750000,Very Low,0,195,0.000000,Very Low,,,,,,,,,,,,,,,,45,4,0,0,8.888889,0.000000,0.000000,,,
2023/2024,18-64 yrs,Los Angeles,09/09/2023,36,2023,3309,25233,13.113779574366902,High,51,5046,1.010700,Very Low,5,1655,0.302100,Very Low,,,,,,,,,,,,,,,,312,2,0,0,0.641026,0.000000,0.000000,,,
2023/2024,0-17 yrs,Southern California,09/09/2023,36,2023,796,6901,11.534560208665411,Moderate,38,2893,1.313500,Very Low,37,2027,1.825400,Low,,,,,,,,,,,,,,,,13,0,1,1,0.000000,7.692308,7.692308,,,
2023/2024,>64 yrs,Southern California,09/09/2023,36,2023,1455,9537,15.256369927650205,High,32,4200,0.761900,Very Low,6,1837,0.326600,Very Low,,,,,,,,,,,,,,,,1307,40,0,0,3.060444,0.000000,0.000000,,,
2023/2024,0-17 yrs,Bay Area,09/16/2023,37,2023,432,8918,4.8441354563803545,Low,62,1907,3.251200,Low,91,1359,6.696100,Moderate,,,,,,,,,,,,,,,,11,0,0,0,0.000000,0.000000,0.000000,,,
2023/2024,>64 yrs,Central California,09/16/2023,37,2023,455,3784,12.02431289640592,Moderate,10,799,1.251600,Very Low,1,601,0.166400,Very Low,,,,,,,,,,,,,,,,438,9,0,0,2.054795,0.000000,0.000000,,,
2023/2024,>64 yrs,Greater Sierra-Sacramento,09/16/2023,37,2023,503,2310,21.774891774891774,Very High,6,499,1.202400,Very Low,0,254,0.000000,Very Low,,,,,,,,,,,,,,,,38,3,0,0,7.894737,0.000000,0.000000,,,
2023/2024,0-17 yrs,Bay Area,09/23/2023,38,2023,321,9207,3.4864776800260668,Low,74,2149,3.443500,Low,137,1453,9.428800,High,,,,,,,,,,,,,,,,11,0,0,0,0.000000,0.000000,0.000000,,,
2023/2024,18-64 yrs,Central California,09/23/2023,38,2023,836,10141,8.2437629425105996,Moderate,17,1470,1.156500,Very Low,0,959,0.000000,Very Low,,,,,,,,,,,,,,,,194,0,0,0,0.000000,0.000000,0.000000,,,
2023/2024,>64 yrs,Rural North,09/23/2023,38,2023,81,357,22.689075630252102,Very High,0,199,0.000000,Very Low,0,140,0.000000,Very Low,,,,,,,,,,,,,,,,116,5,0,0,4.310345,0.000000,0.000000,,,
2023/2024,>64 yrs,Los Angeles,09/30/2023,39,2023,969,17133,5.6557520574330242,Low,17,3483,0.488100,Very Low,3,1592,0.188400,Very Low,,,,,,,,,,,,,,,,912,35,0,0,3.837719,0.000000,0.000000,,,
2023/2024,>64 yrs,Bay Area,07/08/2023,27,2023,614,9581,6.4085168562780499,Low,15,485,3.092800,Low,2,481,0.415800,Very Low,,,,,,,,,,,,,,,,810,19,1,0,2.345679,0.123457,0.000000,,,
2023/2024,>64 yrs,Central California,07/08/2023,27,2023,180,2717,6.6249539933750459,Low,4,227,1.762100,Very Low,0,189,0.000000,Very Low,,,,,,,,,,,,,,,,419,5,0,0,1.193317,0.000000,0.000000,,,
2023/2024,18-64 yrs,Rural North,07/08/2023,27,2023,42,611,6.8739770867430439,Low,4,91,4.395600,Low,0,26,0.000000,Very Low,,,,,,,,,,,,,,,,35,0,0,0,0.000000,0.000000,0.000000,,,
2023/2024,0-17 yrs,Southern California,07/08/2023,27,2023,129,3350,3.8507462686567164,Low,25,609,4.105100,Low,6,484,1.239700,Low,,,,,,,,,,,,,,,,19,0,0,0,0.000000,0.000000,0.000000,,,
2023/2024,0-17 yrs,Central California,07/15/2023,28,2023,103,2440,4.221311475409836,Low,11,367,2.997300,Low,1,307,0.325700,Very Low,,,,,,,,,,,,,,,,13,0,0,0,0.000000,0.000000,0.000000,,,
2023/2024,>64 yrs,Central California,07/15/2023,28,2023,191,2465,7.7484787018255581,Low,5,429,1.165500,Very Low,0,342,0.000000,Very Low,,,,,,,,,,,,,,,,460,7,0,0,1.521739,0.000000,0.000000,,,
2023/2024,18-64 yrs,Los Angeles,07/15/2023,28,2023,1137,17775,6.3966244725738388,Low,69,1814,3.803700,Low,2,1375,0.145500,Very Low,,,,,,,,,,,,,,,,362,4,0,0,1.104972,0.000000,0.000000,,,
2023/2024,18-64 yrs,Southern California,07/15/2023,28,2023,930,13825,6.7269439421338157,Low,53,2339,2.265900,Low,1,1768,0.056600,Very Low,,,,,,,,,,,,,,,,436,6,0,0,1.376147,0.000000,0.000000,,,
2023/2024,18-64 yrs,Bay Area,07/22/2023,29,2023,1252,24867,5.0347850565005832,Low,32,796,4.020100,Low,1,699,0.143100,Very Low,,,,,,,,,,,,,,,,233,2,0,0,0.858369,0.000000,0.000000,,,
2023/2024,>64 yrs,Central California,07/22/2023,29,2023,209,2484,8.4138486312399348,Moderate,3,409,0.733500,Very Low,0,327,0.000000,Very Low,,,,,,,,,,,,,,,,455,3,0,0,0.659341,0.000000,0.000000,,,
2023/2024,>64 yrs,Central California,07/29/2023,30,2023,206,2628,7.8386605783866052,Low,3,464,0.646600,Very Low,1,388,0.257700,Very Low,,,,,,,,,,,,,,,,397,7,0,0,1.763224,0.000000,0.000000,,,
2023/2024,>64 yrs,Los Angeles,07/29/2023,30,2023,701,11424,6.136204481792717,Low,23,1507,1.526200,Very Low,1,680,0.147100,Very Low,,,,,,,,,,,,,,,,885,10,0,0,1.129944,0.000000,0.000000,,,
2023/2024,>64 yrs,Bay Area,08/12/2023,32,2023,1017,10104,10.065320665083135,Moderate,19,1121,1.694900,Very Low,3,587,0.511100,Very Low,,,,,,,,,,,,,,,,802,14,0,0,1.745636,0.000000,0.000000,,,
2023/2024,0-17 yrs,Southern California,08/12/2023,32,2023,598,4201,14.234706022375626,High,26,1736,1.497700,Very Low,11,1222,0.900200,Very Low,,,,,,,,,,,,,,,,14,0,0,0,0.000000,0.000000,0.000000,,,
2023/2024,0-17 yrs,Bay Area,08/26/2023,34,2023,703,8980,7.8285077951002231,Low,46,1488,3.091400,Low,42,1131,3.713500,Low,,,,,,,,,,,,,,,,13,0,0,0,0.000000,0.000000,0.000000,,,
